district_id,vote_type,registered,voted,turnout_pct
national,pr,1079919,607741,0.562765
1,pr,3038,1518,0.499671
2,pr,62145,49839,0.801979
3,pr,1044,512,0.490421
4,pr,26764,21315,0.796406
5,pr,5201,3043,0.58508
6,pr,26931,23383,0.868256
7,pr,41375,22572,0.545547
8,pr,5647,3199,0.566495
9,pr,94143,76590,0.81355
10,pr,3252,647,0.198954
11,pr,27259,15070,0.552845
12,pr,2859,1236,0.432319
13,pr,60289,28028,0.464894
14,pr,71164,36566,0.513827
15,pr,37053,26695,0.720454
16,pr,4744,2805,0.591273
17,pr,35113,21801,0.620881
18,pr,12886,6897,0.535232
19,pr,3440,2239,0.650872
20,pr,24686,13295,0.538564
21,pr,3704,1971,0.532127
22,pr,47803,38547,0.806372
23,pr,28975,16114,0.556135
24,pr,6007,3846,0.640253
25,pr,5967,2913,0.488185
26,pr,55927,30332,0.54235
27,pr,144038,22354,0.155195
28,pr,2560,1157,0.451953
29,pr,8018,3800,0.473934
30,pr,24047,12333,0.512871
31,pr,99541,58269,0.585377
32,pr,2523,1660,0.657947
33,pr,89670,51118,0.570068
34,pr,2384,675,0.283138
35,pr,4262,2466,0.578602
36,pr,5460,2936,0.537729
